Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =   10.000000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.334573
Cy    =   -0.000000
Cd    =    0.003556     
ICd   =    0.003556     
PCd   =    0.000000
Cl   = -3.80726e-16
Cm   =   -0.585339
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    4.609515     YCP   =    0.000000     ZCP   =    0.305684  
XNP   =    0.000000
Bending = 2803.091861

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -11.9865     1.1114    -4.748    0.144558    0.000000    0.012009   -1.151237   -0.042819     0.0000    0.0000    0.5104    0.0000
  -11.9046     1.1291    -3.129    0.229477    0.000000    0.012546   -1.652583   -0.066272     0.0000    0.0000    0.5257    0.0337
  -11.7414     1.1643    -2.039    0.292312    0.000000    0.010406   -1.951938   -0.076177     0.0000    0.0000    0.5065    0.4252
  -11.4980     1.2168    -1.393    0.333459    0.000000    0.008112   -2.091944   -0.083408     0.0000    0.0000    0.4963    2.0633
  -11.1761     1.2862    -1.013    0.358757    0.000000    0.006342   -2.086790   -0.088006     0.0000    0.0000    0.4911    6.5412
  -10.7778     1.3721    -0.777    0.372764    0.000000    0.005055   -1.979828   -0.090660     0.0000    0.0000    0.4887   16.2236
  -10.3058     1.4738    -0.632    0.379144    0.000000    0.004184   -1.814122   -0.092092     0.0000    0.0000    0.4882   34.2692
   -9.7635     1.5907    -0.548    0.380549    0.000000    0.003643   -1.621829   -0.092851     0.0000    0.0000    0.4893   64.6259
   -9.1545     1.7221    -0.505    0.378681    0.000000    0.003340   -1.423579   -0.093248     0.0000    0.0000    0.4916   112.0004
   -8.4830     1.8669    -0.490    0.374566    0.000000    0.003201   -1.231526   -0.093454     0.0000    0.0000    0.4950   181.7908
   -7.7535     2.0242    -0.492    0.368791    0.000000    0.003168   -1.052255   -0.093557     0.0000    0.0000    0.4993   279.9715
   -6.9710     2.1929    -0.508    0.361679    0.000000    0.003204   -0.888904   -0.093606     0.0000    0.0000    0.5045   412.9212
   -6.1410     2.3719    -0.532    0.353346    0.000000    0.003279   -0.742463   -0.093625     0.0000    0.0000    0.5109   587.1892
   -5.2689     2.5599    -0.562    0.343797    0.000000    0.003371   -0.612792   -0.093633     0.0000    0.0000    0.5185   809.1988
   -4.3609     2.7557    -0.595    0.332915    0.000000    0.003459   -0.499117   -0.093654     0.0000    0.0000    0.5278   1084.8948
   -3.4231     2.9579    -0.628    0.320452    0.000000    0.003513   -0.400396   -0.093725     0.0000    0.0000    0.5394   1419.3413
   -2.4619     3.1652    -0.652    0.305981    0.000000    0.003484   -0.315584   -0.093921     0.0000    0.0000    0.5545   1816.2801
   -1.4839     3.3760    -0.643    0.288747    0.000000    0.003242   -0.243829   -0.094382     0.0000    0.0000    0.5753   2277.6548
   -0.4958     3.5891    -0.453    0.267151    0.000000    0.002117   -0.184983   -0.095628     0.0000    0.0000    0.6071   2803.0919
    0.4958     3.5891    -0.453    0.267151    0.000000    0.002117   -0.184983   -0.095628     0.0000    0.0000    0.6071   2803.0919
    1.4839     3.3760    -0.643    0.288747    0.000000    0.003242   -0.243829   -0.094382     0.0000    0.0000    0.5753   2277.6548
    2.4619     3.1652    -0.652    0.305981    0.000000    0.003484   -0.315584   -0.093921     0.0000    0.0000    0.5545   1816.2801
    3.4231     2.9579    -0.628    0.320452    0.000000    0.003513   -0.400396   -0.093725     0.0000    0.0000    0.5394   1419.3413
    4.3609     2.7557    -0.595    0.332915    0.000000    0.003459   -0.499117   -0.093654     0.0000    0.0000    0.5278   1084.8948
    5.2689     2.5599    -0.562    0.343797    0.000000    0.003371   -0.612792   -0.093633     0.0000    0.0000    0.5185   809.1988
    6.1410     2.3719    -0.532    0.353346    0.000000    0.003279   -0.742463   -0.093625     0.0000    0.0000    0.5109   587.1892
    6.9710     2.1929    -0.508    0.361679    0.000000    0.003204   -0.888904   -0.093606     0.0000    0.0000    0.5045   412.9212
    7.7535     2.0242    -0.492    0.368791    0.000000    0.003168   -1.052255   -0.093557     0.0000    0.0000    0.4993   279.9715
    8.4830     1.8669    -0.490    0.374566    0.000000    0.003201   -1.231526   -0.093454     0.0000    0.0000    0.4950   181.7908
    9.1545     1.7221    -0.505    0.378681    0.000000    0.003340   -1.423579   -0.093248     0.0000    0.0000    0.4916   112.0004
    9.7635     1.5907    -0.548    0.380549    0.000000    0.003643   -1.621829   -0.092851     0.0000    0.0000    0.4893   64.6259
   10.3058     1.4738    -0.632    0.379144    0.000000    0.004184   -1.814122   -0.092092     0.0000    0.0000    0.4882   34.2692
   10.7778     1.3721    -0.777    0.372764    0.000000    0.005055   -1.979828   -0.090660     0.0000    0.0000    0.4887   16.2236
   11.1761     1.2862    -1.013    0.358757    0.000000    0.006342   -2.086790   -0.088006     0.0000    0.0000    0.4911    6.5412
   11.4980     1.2168    -1.393    0.333459    0.000000    0.008112   -2.091944   -0.083408     0.0000    0.0000    0.4963    2.0633
   11.7414     1.1643    -2.039    0.292312    0.000000    0.010406   -1.951938   -0.076177     0.0000    0.0000    0.5065    0.4252
   11.9046     1.1291    -3.129    0.229477    0.000000    0.012546   -1.652583   -0.066272     0.0000    0.0000    0.5257    0.0337
   11.9865     1.1114    -4.748    0.144558    0.000000    0.012009   -1.151237   -0.042819     0.0000    0.0000    0.5104    0.0000









