xflr5 v6.47

Plane Name
T1-10.0 m/s-Panel-Inviscid
QInf  =   10.000000 m/s
Alpha =   10.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.141854
Cy    =   -0.000000
Cd    =    0.040496     
ICd   =    0.040496     
PCd   =    0.000000
Cl   = 4.11335e-15
Cm   =    -1.77982
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    4.090465     YCP   =   -0.000000     ZCP   =    0.246304  
XNP   =    0.000000
Bending = 9437.683098

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
  -11.9865     1.1114    -9.123    0.417833    0.000000    0.067095   -3.111714    0.014324     0.0000    0.0000    0.2174    0.0000
  -11.9046     1.1291    -7.006    0.686539    0.000000    0.084358   -4.808491   -0.018565     0.0000    0.0000    0.2738    0.0974
  -11.7414     1.1643    -5.549    0.915847    0.000000    0.088952   -6.037891   -0.029149     0.0000    0.0000    0.2786    1.2618
  -11.4980     1.2168    -4.379    1.081724    0.000000    0.082796   -6.723694   -0.046958     0.0000    0.0000    0.2900    6.3008
  -11.1761     1.2862    -3.446    1.188793    0.000000    0.071548   -6.849784   -0.062113     0.0000    0.0000    0.2986   20.4623
  -10.7778     1.3721    -2.738    1.249730    0.000000    0.059711   -6.562110   -0.072031     0.0000    0.0000    0.3039   51.7069
  -10.3058     1.4738    -2.252    1.278878    0.000000    0.050233   -6.029335   -0.077708     0.0000    0.0000    0.3069   110.7615
   -9.7635     1.5907    -1.953    1.287537    0.000000    0.043846   -5.381233   -0.080806     0.0000    0.0000    0.3089   211.0664
   -9.1545     1.7221    -1.792    1.283040    0.000000    0.040076   -4.700794   -0.082476     0.0000    0.0000    0.3104   368.6452
   -8.4830     1.8669    -1.727    1.269760    0.000000    0.038204   -4.036252   -0.083384     0.0000    0.0000    0.3117   601.8612
   -7.7535     2.0242    -1.727    1.250174    0.000000    0.037607   -3.413602   -0.083879     0.0000    0.0000    0.3131   931.0149
   -6.9710     2.1929    -1.771    1.225596    0.000000    0.037810   -2.845204   -0.084147     0.0000    0.0000    0.3147   1377.7494
   -6.1410     2.3719    -1.846    1.196629    0.000000    0.038467   -2.335443   -0.084315     0.0000    0.0000    0.3165   1964.2461
   -5.2689     2.5599    -1.941    1.163371    0.000000    0.039293   -1.884188   -0.084482     0.0000    0.0000    0.3186   2712.2140
   -4.3609     2.7557    -2.043    1.125513    0.000000    0.040000   -1.488991   -0.084781     0.0000    0.0000    0.3213   3641.6886
   -3.4231     2.9579    -2.138    1.082348    0.000000    0.040223   -1.146490   -0.085478     0.0000    0.0000    0.3249   4769.6719
   -2.4619     3.1652    -2.197    1.032702    0.000000    0.039355   -0.853444   -0.087243     0.0000    0.0000    0.3304   6108.6548
   -1.4839     3.3760    -2.146    0.974694    0.000000    0.036076   -0.608113   -0.091854     0.0000    0.0000    0.3402   7665.0671
   -0.4958     3.5891    -1.702    0.902969    0.000000    0.025426   -0.413106   -0.105506     0.0000    0.0000    0.3629   9437.6831
    0.4958     3.5891    -1.702    0.902969    0.000000    0.025426   -0.413106   -0.105506     0.0000    0.0000    0.3629   9437.6831
    1.4839     3.3760    -2.146    0.974694    0.000000    0.036076   -0.608113   -0.091854     0.0000    0.0000    0.3402   7665.0671
    2.4619     3.1652    -2.197    1.032702    0.000000    0.039355   -0.853444   -0.087243     0.0000    0.0000    0.3304   6108.6548
    3.4231     2.9579    -2.138    1.082348    0.000000    0.040223   -1.146490   -0.085478     0.0000    0.0000    0.3249   4769.6719
    4.3609     2.7557    -2.043    1.125513    0.000000    0.040000   -1.488991   -0.084781     0.0000    0.0000    0.3213   3641.6886
    5.2689     2.5599    -1.941    1.163371    0.000000    0.039293   -1.884188   -0.084482     0.0000    0.0000    0.3186   2712.2140
    6.1410     2.3719    -1.846    1.196629    0.000000    0.038467   -2.335443   -0.084315     0.0000    0.0000    0.3165   1964.2461
    6.9710     2.1929    -1.771    1.225596    0.000000    0.037810   -2.845204   -0.084147     0.0000    0.0000    0.3147   1377.7494
    7.7535     2.0242    -1.727    1.250174    0.000000    0.037607   -3.413602   -0.083879     0.0000    0.0000    0.3131   931.0149
    8.4830     1.8669    -1.727    1.269760    0.000000    0.038204   -4.036252   -0.083384     0.0000    0.0000    0.3117   601.8612
    9.1545     1.7221    -1.792    1.283040    0.000000    0.040076   -4.700794   -0.082476     0.0000    0.0000    0.3104   368.6452
    9.7635     1.5907    -1.953    1.287537    0.000000    0.043846   -5.381233   -0.080806     0.0000    0.0000    0.3089   211.0664
   10.3058     1.4738    -2.252    1.278878    0.000000    0.050233   -6.029335   -0.077708     0.0000    0.0000    0.3069   110.7615
   10.7778     1.3721    -2.738    1.249730    0.000000    0.059711   -6.562110   -0.072031     0.0000    0.0000    0.3039   51.7069
   11.1761     1.2862    -3.446    1.188793    0.000000    0.071548   -6.849784   -0.062113     0.0000    0.0000    0.2986   20.4623
   11.4980     1.2168    -4.379    1.081724    0.000000    0.082796   -6.723694   -0.046958     0.0000    0.0000    0.2900    6.3008
   11.7414     1.1643    -5.549    0.915847    0.000000    0.088952   -6.037891   -0.029149     0.0000    0.0000    0.2786    1.2618
   11.9046     1.1291    -7.006    0.686539    0.000000    0.084358   -4.808491   -0.018565     0.0000    0.0000    0.2738    0.0974
   11.9865     1.1114    -9.123    0.417833    0.000000    0.067095   -3.111714    0.014324     0.0000    0.0000    0.2174    0.0000








